TeamName,PlayerName
Ashley,Kurt Kitayama
Ashley,Hideki Matsuyama
Ashley,Sungjae Im
Ashley,Michael Kim
Ashley,Ethan Fang
Ashley,Min Woo Lee
Brett,Casey Jarvis
Brett,Sam Burns
Brett,Ryan Gerard
Brett,Cameron Young
Brett,Jordan Spieth
Brett,Sepp Straka
CA,Aldrich Potgieter
CA,Max Greyserman
CA,Tommy Fleetwood
CA,Wyndham Clark
CA,Brooks Koepka
CA,Marco Penge
Dale,Ángel Cabrera
Dale,Rasmus Højgaard
Dale,Nicolai Højgaard
Dale,Sergio García
Dale,J.J. Spaun
Dale,Scottie Scheffler
DP,Haotong Li
DP,Rasmus Neergaard-Petersen
DP,Cameron Smith
DP,Corey Conners
DP,Justin Rose
DP,Harris English
Greger,Johnny Keefer
Greger,Keegan Bradley
Greger,Matt Fitzpatrick
Greger,Daniel Berger
Greger,Chris Gotterup
Greger,Gary Woodland
Hall,Jackson Herrington
Hall,Matt McCarty
Hall,Jason Day
Hall,Adam Scott
Hall,Harry Hall
Hall,Ludvig Åberg
Jimmy,Sami Välimäki
Jimmy,Ryan Fox
Jimmy,Patrick Reed
Jimmy,Akshay Bhatia
Jimmy,Zach Johnson
Jimmy,Maverick McNealy
Juhli,Carlos Ortiz
Juhli,Dustin Johnson
Juhli,Bryson DeChambeau
Juhli,Russell Henley
Juhli,Patrick Cantlay
Juhli,Sam Stevens
Miranda,Collin Morikawa
Miranda,Mason Howell
Miranda,Andrew Novak
Miranda,Jacob Bridgeman
Miranda,Ben Griffin
Miranda,Robert MacIntyre
Stu,Max Homa
Stu,Charl Schwartzel
Stu,Jake Knapp
Stu,Xander Schauffele
Stu,Tom McKibbin
Stu,Si Woo Kim
Wiggy,Nico Echavarria
Wiggy,Shane Lowry
Wiggy,Rory McIlroy
Wiggy,Alex Noren
Wiggy,Viktor Hovland
Wiggy,Aaron Rai
Wilkins,Bubba Watson
Wilkins,Nick Taylor
Wilkins,Brian Harman
Wilkins,Tyrrell Hatton
Wilkins,Jon Rahm
Wilkins,Justin Thomas
