TeamName,Player Name,TeamName,PlayerName,,,,,,,,,,
,Bryson DeChambeau,Dale,Scottie Scheffler,,,,,,,,,,
,Davis Riley,Dale,J.J. Spaun,,,,,,,,,,
,Xander Schauffele,Dale,Nicolai Hojgaard,,,,,,,,,,
,J.J. Spaun,Dale,Rasmus Hojgaard,,,,,,,,,,
,Kurt Kitayama,Dale,Sergio Garcia,,,,,,,,,,
,Collin Morikawa,Dale,Angel Cabrera,,,,,,,,,,
,Aaron Rai,Hall,Ludvig A?berg,,,,,,,,,,
,Charl Schwartzel,Hall,Jason Day,,,,,,,,,,
,Max Greyserman,Hall,Adam Scott,,,,,,,,,,
,Wyndham Clark,Hall,Harry Hall,,,,,,,,,,
,Nicolai Højgaard,Hall,Matt McCarty,,,,,,,,,,
,Rasmus Højgaard,Hall,Jackson Herrington (a),,,,,,,,,,
,Andrew Novak,Wilkins,Jon Rahm,,,,,,,,,,
,Robert MacIntyre,Wilkins,Justin Thomas,,,,,,,,,,
,Sungjae Im,Wilkins,Tyrrell Hatton,,,,,,,,,,
,Brian Harman,Wilkins,Brian Harman,,,,,,,,,,
,Sergio García,Wilkins,Nick Taylor,,,,,,,,,,
,Jason Day,Wilkins,Bubba Watson,,,,,,,,,,
,Brandon Holtz,Wiggy,Rory McIlroy,,,,,,,,,,
,José María Olazábal,Wiggy,Viktor Hovland,,,,,,,,,,
,Dustin Johnson,Wiggy,Shane Lowry,,,,,,,,,,
,Rory McIlroy,Wiggy,Aaron Rai,,,,,,,,,,
,Gary Woodland,Wiggy,Alex Noren,,,,,,,,,,
,Nick Taylor,Wiggy,Nico Echevarria,,,,,,,,,,
,Alex Noren,Juhli,Bryson DeChambeau,,,,,,,,,,
,Adam Scott,Juhli,Russell Henley,,,,,,,,,,
,Vijay Singh,Juhli,Patrick Cantlay,,,,,,,,,,
,Ryan Fox,Juhli,Dustin Johnson,,,,,,,,,,
,Danny Willett,Juhli,Sam Stevens,,,,,,,,,,
,Tom McKibbin,Juhli,Carlos Ortiz,,,,,,,,,,
,Kristoffer Reitan,Greger,Matt Fitzpatrick,,,,,,,,,,
,Viktor Hovland,Greger,Chris Gotterup,,,,,,,,,,
,Ludvig Åberg,Greger,Gary Woodland,,,,,,,,,,
,Ben Griffin,Greger,Daniel Berger,,,,,,,,,,
,Nico Echavarria,Greger,Keegan Bradley,,,,,,,,,,
,Min Woo Lee,Greger,Johnny Keefer,,,,,,,,,,
,Akshay Bhatia,Stu,Xander Schauffele,,,,,,,,,,
,Cameron Young,Stu,Si Woo Kim,,,,,,,,,,
,Sam Stevens,Stu,Jake Knapp,,,,,,,,,,
,Keegan Bradley,Stu,Max Homa,,,,,,,,,,
,Mike Weir,Stu,Tom McKibbin,,,,,,,,,,
,Sami Välimäki,Stu,Charl Schwartzel,,,,,,,,,,
,Marco Penge,Brett,Cameron Young,,,,,,,,,,
,Shane Lowry,Brett,Jordan Spieth,,,,,,,,,,
,Harry Hall,Brett,Sepp Straka,,,,,,,,,,
,Casey Jarvis,Brett,Sam Burns,,,,,,,,,,
,Chris Gotterup,Brett,Casey Jarvis,,,,,,,,,,
,Naoyuki Kataoka,Brett,Ryan Gerard,,,,,,,,,,
,Justin Thomas,Ashley,Hideki Matsuyama,,,,,,,,,,
,Rasmus Neergaard-Petersen,Ashley,Min Woo Lee,,,,,,,,,,
,Matt McCarty,Ashley,Sungjae Im,,,,,,,,,,
,Michael Brennan,Ashley,Kurt Kitayama,,,,,,,,,,
,Jacob Bridgeman,Ashley,Michael Kim,,,,,,,,,,
,Ryan Gerard,Ashley,Ethan Fang (a),,,,,,,,,,
,Aldrich Potgieter,CA,Tommy Fleetwood,,,,,,,,,,
,Johnny Keefer,CA,Brooks Koepka,,,,,,,,,,
,Mason Howell,CA,Marco Penge,,,,,,,,,,
,Ethan Fang,CA,Wyndham Clark,,,,,,,,,,
,Fifa Laopakdee,CA,Max Greyserman,,,,,,,,,,
,Mateo Pulcini,CA,Aldrich Potgieter,,,,,,,,,,
,Jackson Herrington,DP,Justin Rose,,,,,,,,,,
,Harris English,DP,Corey Conners,,,,,,,,,,
,Russell Henley,DP,Cameron Smith,,,,,,,,,,
,Jordan Spieth,DP,Harris English,,,,,,,,,,
,Carlos Ortiz,DP,Haotong Li,,,,,,,,,,
,Tommy Fleetwood,DP,Rasmus Neegaard-Petersen,,,,,,,,,,
,Tyrrell Hatton,Jimmy,Patrick Reed,,,,,,,,,,
,Patrick Reed,Jimmy,Akshay Bhatia,,,,,,,,,,
,Justin Rose,Jimmy,Maverick McNealy,,,,,,,,,,
,Hideki Matsuyama,Jimmy,Ryan Fox,,,,,,,,,,
,Patrick Cantlay,Jimmy,Sami Valimaki,,,,,,,,,,
,Ángel Cabrera,Jimmy,Zach Johnson,,,,,,,,,,
,Brooks Koepka,Miranda,Collin Morikawa,,,,,,,,,,
,Zach Johnson,Miranda,Robert MacIntyre,,,,,,,,,,
,Si Woo Kim,Miranda,Jacob Bridgeman,,,,,,,,,,
,Bubba Watson,Miranda,Ben Griffin,,,,,,,,,,
,Sepp Straka,Miranda,Andrew Novak,,,,,,,,,,
,Max Homa,Miranda,Mason Howell (a),,,,,,,,,,
,Michael Kim,,,,,,,,,,,,
,Daniel Berger,,,,,,,,,,,,
,Matt Fitzpatrick,,,,,,,,,,,,
,Fred Couples,,,,,,,,,,,,
,Corey Conners,,,,,,,,,,,,
,Cameron Smith,,,,,,,,,,,,
,Haotong Li,,,,,,,,,,,,
,Scottie Scheffler,,,,,,,,,,,,
,Brian Campbell,,,,,,,,,,,,
,Maverick McNealy,,,,,,,,,,,,
,Jon Rahm,,,,,,,,,,,,
,Jake Knapp,,,,,,,,,,,,
,Sam Burns,,,,,,,,,,,,
